task,ppt,SYNSscene,SYNSView,categorySelected,categoryLabelSelected
Structure,1,18,7,2,Closed Off
Structure,1,70,5,2,Closed Off
Structure,1,2,11,1,Cluttered / \n Pointy   
Structure,1,68,17,2,Closed Off
Structure,1,53,15,3,Flat
Structure,1,27,3,2,Closed Off
Structure,1,11,3,4,Tunnel/ \n Navigable\n Routes 
Structure,1,25,3,4,Tunnel/ \n Navigable\n Routes 
Structure,1,69,5,3,Flat
Structure,1,1,1,3,Flat
Structure,1,50,9,3,Flat
Structure,1,79,7,2,Closed Off
Structure,1,2,3,4,Tunnel/ \n Navigable\n Routes 
Structure,1,15,3,1,Cluttered / \n Pointy   
Structure,1,33,5,3,Flat
Structure,1,24,13,2,Closed Off
Structure,1,45,13,1,Cluttered / \n Pointy   
Structure,1,49,15,2,Closed Off
Structure,1,10,13,3,Flat
Structure,1,12,13,3,Flat
Structure,1,34,5,3,Flat
Structure,1,52,7,3,Flat
Structure,1,61,1,1,Cluttered / \n Pointy   
Structure,1,45,17,1,Cluttered / \n Pointy   
Structure,1,57,3,2,Closed Off
Structure,1,32,13,2,Closed Off
Structure,1,16,17,3,Flat
Structure,1,50,3,3,Flat
Structure,1,54,9,2,Closed Off
Structure,1,38,1,1,Cluttered / \n Pointy   
Structure,1,76,1,1,Cluttered / \n Pointy   
Structure,1,70,13,2,Closed Off
Structure,1,47,7,1,Cluttered / \n Pointy   
Structure,1,52,3,3,Flat
Structure,1,15,9,1,Cluttered / \n Pointy   
Structure,1,57,17,4,Tunnel/ \n Navigable\n Routes 
Structure,1,38,3,2,Closed Off
Structure,1,72,7,2,Closed Off
Structure,1,24,3,3,Flat
Structure,1,36,13,4,Tunnel/ \n Navigable\n Routes 
Structure,1,75,9,3,Flat
Structure,1,70,7,2,Closed Off
Structure,1,9,17,3,Flat
Structure,1,3,11,4,Tunnel/ \n Navigable\n Routes 
Structure,1,60,11,1,Cluttered / \n Pointy   
Structure,1,69,3,3,Flat
Structure,1,71,17,3,Flat
Structure,1,58,3,1,Cluttered / \n Pointy   
Structure,1,5,9,3,Flat
Structure,1,18,15,2,Closed Off
Structure,1,55,7,2,Closed Off
Structure,1,62,11,1,Cluttered / \n Pointy   
Structure,1,39,13,1,Cluttered / \n Pointy   
Structure,1,67,13,4,Tunnel/ \n Navigable\n Routes 
Structure,1,79,13,3,Flat
Structure,1,28,1,4,Tunnel/ \n Navigable\n Routes 
Structure,1,61,17,1,Cluttered / \n Pointy   
Structure,1,34,7,3,Flat
Structure,1,19,17,1,Cluttered / \n Pointy   
Structure,1,55,9,2,Closed Off
Structure,1,33,3,3,Flat
Structure,1,65,13,2,Closed Off
Structure,1,41,5,2,Closed Off
Structure,1,20,5,1,Cluttered / \n Pointy   
Structure,1,79,11,3,Flat
Structure,1,10,5,3,Flat
Structure,1,26,7,1,Cluttered / \n Pointy   
Structure,1,55,3,2,Closed Off
Structure,1,71,7,3,Flat
Structure,1,38,11,2,Closed Off
Structure,1,19,9,1,Cluttered / \n Pointy   
Structure,1,30,1,3,Flat
Structure,1,52,9,3,Flat
Structure,1,28,9,3,Flat
Structure,1,16,9,3,Flat
Structure,1,5,11,3,Flat
Structure,1,39,3,1,Cluttered / \n Pointy   
Structure,1,3,7,2,Closed Off
Structure,1,11,17,3,Flat
Structure,1,37,11,3,Flat
Structure,1,2,17,3,Flat
Structure,1,7,11,2,Closed Off
Structure,1,14,3,2,Closed Off
Structure,1,38,15,1,Cluttered / \n Pointy   
Structure,1,24,1,3,Flat
Structure,1,65,3,3,Flat
Structure,1,52,1,3,Flat
Structure,1,14,1,4,Tunnel/ \n Navigable\n Routes 
Structure,1,49,17,3,Flat
Structure,1,25,7,2,Closed Off
Structure,1,59,15,2,Closed Off
Structure,1,30,13,3,Flat
Structure,1,45,3,1,Cluttered / \n Pointy   
Structure,1,35,13,3,Flat
Structure,1,27,11,2,Closed Off
Structure,1,19,11,2,Closed Off
Structure,1,56,17,2,Closed Off
Structure,1,42,13,2,Closed Off
Structure,1,6,3,1,Cluttered / \n Pointy   
Structure,1,21,15,2,Closed Off
Structure,1,44,5,1,Cluttered / \n Pointy   
Structure,1,32,11,3,Flat
Structure,1,65,1,4,Tunnel/ \n Navigable\n Routes 
Structure,1,37,3,3,Flat
Structure,1,9,11,1,Cluttered / \n Pointy   
Structure,1,60,15,1,Cluttered / \n Pointy   
Structure,1,43,11,1,Cluttered / \n Pointy   
Structure,1,4,7,1,Cluttered / \n Pointy   
Structure,1,41,15,2,Closed Off
Structure,1,63,3,4,Tunnel/ \n Navigable\n Routes 
Structure,1,24,7,3,Flat
Structure,1,50,11,3,Flat
Structure,1,31,5,3,Flat
Structure,1,63,15,2,Closed Off
Structure,1,66,1,4,Tunnel/ \n Navigable\n Routes 
Structure,1,12,17,2,Closed Off
Structure,1,27,13,4,Tunnel/ \n Navigable\n Routes 
Structure,1,40,3,3,Flat
Structure,1,25,17,2,Closed Off
Structure,1,56,9,2,Closed Off
Structure,1,19,1,1,Cluttered / \n Pointy   
Structure,1,43,9,1,Cluttered / \n Pointy   
Structure,1,20,17,1,Cluttered / \n Pointy   
Structure,1,5,15,1,Cluttered / \n Pointy   
Structure,1,42,9,2,Closed Off
Structure,1,1,5,2,Closed Off
Structure,1,70,17,2,Closed Off
Structure,1,38,7,2,Closed Off
Structure,1,41,17,2,Closed Off
Structure,1,68,9,2,Closed Off
Structure,1,42,1,2,Closed Off
Structure,1,44,9,1,Cluttered / \n Pointy   
Structure,1,4,11,1,Cluttered / \n Pointy   
Structure,1,32,1,3,Flat
Structure,1,54,11,2,Closed Off
Structure,1,62,9,3,Flat
Structure,1,55,15,1,Cluttered / \n Pointy   
Structure,1,17,11,2,Closed Off
Structure,1,1,15,3,Flat
Structure,1,34,11,3,Flat
Structure,1,80,5,4,Tunnel/ \n Navigable\n Routes 
Structure,1,51,11,3,Flat
Structure,1,72,11,1,Cluttered / \n Pointy   
Structure,1,47,9,1,Cluttered / \n Pointy   
Structure,1,8,9,3,Flat
Structure,1,39,17,2,Closed Off
Structure,1,31,17,2,Closed Off
Structure,1,18,11,2,Closed Off
Structure,1,28,3,4,Tunnel/ \n Navigable\n Routes 
Structure,1,79,15,2,Closed Off
Structure,1,78,13,1,Cluttered / \n Pointy   
Structure,1,19,13,1,Cluttered / \n Pointy   
Structure,1,75,3,3,Flat
Structure,1,74,13,2,Closed Off
Structure,1,13,11,2,Closed Off
Structure,1,71,13,3,Flat
Structure,1,5,5,3,Flat
Structure,1,19,5,1,Cluttered / \n Pointy   
Structure,1,43,3,1,Cluttered / \n Pointy   
Structure,1,1,9,2,Closed Off
Structure,1,10,7,3,Flat
Structure,1,14,17,2,Closed Off
Structure,1,37,7,3,Flat
Structure,1,29,11,3,Flat
Structure,1,8,11,3,Flat
Structure,1,64,7,1,Cluttered / \n Pointy   
Structure,1,54,13,2,Closed Off
Structure,1,15,11,1,Cluttered / \n Pointy   
Structure,1,10,11,3,Flat
Structure,1,3,3,2,Closed Off
Structure,1,67,5,4,Tunnel/ \n Navigable\n Routes 
Structure,1,53,13,3,Flat
Structure,1,1,7,2,Closed Off
Structure,1,19,3,1,Cluttered / \n Pointy   
